CSV Converter: v1.113,Filter: v1.026,File system version: v4,Unit: 320,Time sync: Not synced,38m is a fixed reference measurement,The GPS field contains latitude and longitude coordinates in decimal degrees (positive sign indicates North or East),ZephIR window height above ground: 1.0m,Measurement heights: 300m 77m 60m 46m 38m 36m 28m 22m 16m 13m 10m
Reference,Time and Date,Timestamp (s),Info. Flags,Status Flags,Battery (V),Generator (V),Upper Temp. (C),Lower Temp. (C),Pod Humidity (%),GPS,ZephIR Bearing (deg),Tilt (deg),Air Temp. (C),Pressure (mbar),Humidity (%),MET Wind Speed (m/s),MET Direction (deg),Raining,Wind Direction (deg) at 300m,Horizontal Wind Speed (m/s) at 300m,Vertical Wind Speed (m/s) at 300m,Wind Direction (deg) at 77m,Horizontal Wind Speed (m/s) at 77m,Vertical Wind Speed (m/s) at 77m,Wind Direction (deg) at 60m,Horizontal Wind Speed (m/s) at 60m,Vertical Wind Speed (m/s) at 60m,Wind Direction (deg) at 46m,Horizontal Wind Speed (m/s) at 46m,Vertical Wind Speed (m/s) at 46m,Wind Direction (deg) at 38m,Horizontal Wind Speed (m/s) at 38m,Vertical Wind Speed (m/s) at 38m,Wind Direction (deg) at 36m,Horizontal Wind Speed (m/s) at 36m,Vertical Wind Speed (m/s) at 36m,Wind Direction (deg) at 28m,Horizontal Wind Speed (m/s) at 28m,Vertical Wind Speed (m/s) at 28m,Wind Direction (deg) at 22m,Horizontal Wind Speed (m/s) at 22m,Vertical Wind Speed (m/s) at 22m,Wind Direction (deg) at 16m,Horizontal Wind Speed (m/s) at 16m,Vertical Wind Speed (m/s) at 16m,Wind Direction (deg) at 13m,Horizontal Wind Speed (m/s) at 13m,Vertical Wind Speed (m/s) at 13m,Wind Direction (deg) at 10m,Horizontal Wind Speed (m/s) at 10m,Vertical Wind Speed (m/s) at 10m,Checksum:M^[sZkc~rs&M'N]{~k|mo~omgza|s&cX'N^ag`z}sg`sHgzsozs^AG@Z]QG@QHGZcN^ag`z}sCg}}kjsozs^AG@Z]QCG]]KJcNYg`jsJg|kmzga`s&jki'sozsYG@JQJG\QJKI]cNFa|gta`zobsYg`js]~kkjs&c!}'sozsFA\GTA@ZOBQYG@JQ]^JcNXk|zgmobsYg`js]~kkjs&c!}'sozsXK\ZGMOBQYG@JQ]^JcN]~ozgobsXo|gozga`sozs]^OZGOBQXO\GOZGA@cNMba{js]mobg`isozsMBA[JQ]MOBG@IcNLome}mozzk|s&!?r=k#8!c!}|'sozsLOME]MOZZK\cNFa|gta`zobs[`mk|zog`zws&c!}'sozsFA\GTA@ZOBQ]^JQMA@HGJK@MKcNJozosXobgjgzwsozsJOZOQG@XOBGJcN^ag`z}sg`sHgzsozs=>>cN^ag`z}sCg}}kjsozs=>>cN]~ozgobsXo|gozga`sozs=>>cNMba{js]mobg`isozs=>>cNLome}mozzk|s&!?r=k#8!c!}|'sozs=>>cNFa|gta`zobs[`mk|zog`zws&c!}'sozs=>>cNJozosXobgjgzwsozs=>>cN^ag`z}sg`sHgzsozs99cN^ag`z}sCg}}kjsozs99cN]~ozgobsXo|gozga`sozs99cNMba{js]mobg`isozs99cNLome}mozzk|s&!?r=k#8!c!}|'sozs99cNFa|gta`zobs[`mk|zog`zws&c!}'sozs99cNJozosXobgjgzwsozs99cN^ag`z}sg`sHgzsozs8>cN^ag`z}sCg}}kjsozs8>cN]~ozgobsXo|gozga`sozs8>cNMba{js]mobg`isozs8>cNLome}mozzk|s&!?r=k#8!c!}|'sozs8>cNFa|gta`zobs[`mk|zog`zws&c!}'sozs8>cNJozosXobgjgzwsozs8>cN^ag`z}sg`sHgzsozs:8cN^ag`z}sCg}}kjsozs:8cN]~ozgobsXo|gozga`sozs:8cNMba{js]mobg`isozs:8cNLome}mozzk|s&!?r=k#8!c!}|'sozs:8cNFa|gta`zobs[`mk|zog`zws&c!}'sozs:8cNJozosXobgjgzwsozs:8cN^ag`z}sg`sHgzsozs=6cN^ag`z}sCg}}kjsozs=6cN]~ozgobsXo|gozga`sozs=6cNMba{js]mobg`isozs=6cNLome}mozzk|s&!?r=k#8!c!}|'sozs=6cNFa|gta`zobs[`mk|zog`zws&c!}'sozs=6cNJozosXobgjgzwsozs=6cN^ag`z}sg`sHgzsozs=8cN^ag`z}sCg}}kjsozs=8cN]~ozgobsXo|gozga`sozs=8cNMba{js]mobg`isozs=8cNLome}mozzk|s&!?r=k#8!c!}|'sozs=8cNFa|gta`zobs[`mk|zog`zws&c!}'sozs=8cNJozosXobgjgzwsozs=8cN^ag`z}sg`sHgzsozs<6cN^ag`z}sCg}}kjsozs<6cN]~ozgobsXo|gozga`sozs<6cNMba{js]mobg`isozs<6cNLome}mozzk|s&!?r=k#8!c!}|'sozs<6cNFa|gta`zobs[`mk|zog`zws&c!}'sozs<6cNJozosXobgjgzwsozs<6cN^ag`z}sg`sHgzsozs<<cN^ag`z}sCg}}kjsozs<<cN]~ozgobsXo|gozga`sozs<<cNMba{js]mobg`isozs<<cNLome}mozzk|s&!?r=k#8!c!}|'sozs<<cNFa|gta`zobs[`mk|zog`zws&c!}'sozs<<cNJozosXobgjgzwsozs<<cN^ag`z}sg`sHgzsozs?8cN^ag`z}sCg}}kjsozs?8cN]~ozgobsXo|gozga`sozs?8cNMba{js]mobg`isozs?8cNLome}mozzk|s&!?r=k#8!c!}|'sozs?8cNFa|gta`zobs[`mk|zog`zws&c!}'sozs?8cNJozosXobgjgzwsozs?8cN^ag`z}sg`sHgzsozs?=cN^ag`z}sCg}}kjsozs?=cN]~ozgobsXo|gozga`sozs?=cNMba{js]mobg`isozs?=cNLome}mozzk|s&!?r=k#8!c!}|'sozs?=cNFa|gta`zobs[`mk|zog`zws&c!}'sozs?=cNJozosXobgjgzwsozs?=cN^ag`z}sg`sHgzsozs?>cN^ag`z}sCg}}kjsozs?>cN]~ozgobsXo|gozga`sozs?>cNMba{js]mobg`isozs?>cNLome}mozzk|s&!?r=k#8!c!}|'sozs?>cNFa|gta`zobs[`mk|zog`zws&c!}'sozs?>cNJozosXobgjgzwsozs?>cN^ag`z}sg`sHgzsozs^AG@Z]QG@QHGZcN^ag`z}sCg}}kjsozs^AG@Z]QCG]]KJcNYg`jsJg|kmzga`s&jki'sozsYG@JQJG\QJKI]cNFa|gta`zobsYg`js]~kkjs&c!}'sozsFA\GTA@ZOBQYG@JQ]^JcNXk|zgmobsYg`js]~kkjs&c!}'sozsXK\ZGMOBQYG@JQ]^JcN]~ozgobsXo|gozga`sozs]^OZGOBQXO\GOZGA@cNMba{js]mobg`isozsMBA[JQ]MOBG@IcNLome}mozzk|s&!?r=k#8!c!}|'sozsLOME]MOZZK\cNFa|gta`zobs[`mk|zog`zws&c!}'sozsFA\GTA@ZOBQ]^JQMA@HGJK@MKcNJozosXobgjgzwsozsJOZOQG@XOBGJc
357975,15/04/2017 00:01:06,558403266,Shutter-Open,Fully Operational,10.775,0.030,39,44,20,32.86239 -106.28590,352.500,1,16.890,875.000,26.000,0.875,242.700,0,225.591,5.725,0.136,212.135,5.449,0.115,210.777,5.489,0.115,210.609,5.454,0.109,209.752,5.389,0.131,210.236,5.437,0.146,207.947,5.130,0.134,205.937,4.219,0.142,205.471,4.650,0.012,205.076,4.300,-0.023,212.361,2.879,0.090,9?N?:6:?Nn>N>N<<7r<6nNnr9=:N>r?8>N>r><?N>r>>>N>r>?<N>r8>nN>Nn>N>N>r><?N>r>>>N>r><:N>rn>nN>Nn>N>N>r>>6N>r>>>N>r>=nN>r::=N>Nn>N>N>r>>9N>r>>>N>r>=8N>r:::N>Nn>N>N>r>>6N>r>>>N>r>=8N>r:==N>Nn>N>N>r>>6N>r>>>N>r>=nN>r:<7N>Nn>N>N>r>>nN>r>>>N>r>=8N>r:=?N>Nn>N>N>r>?>N>r>>>N>r>=nN>r:n=N>Nn>N>N>r>?<N>r>>>N>r>=nN>r:n=N>Nn>N>N>r>>6N>r>>>N>r>=<N>r:::N>N:7N>N>r>?:N>r>>>N>r>=9N>r:=?N>N:7N?N>r><?N>r>>>N>r>:?N>r:<6N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
357987,15/04/2017 00:01:23,558403283,Shutter-Open,Fully Operational,10.762,0.030,39,44,20,32.86239 -106.28590,352.500,0,16.890,875.000,27.000,0.463,243.600,0,225.747,5.647,0.100,211.785,5.501,0.094,212.364,5.532,0.108,211.838,5.474,0.134,211.166,5.418,0.148,210.143,5.433,0.143,208.414,5.102,0.129,205.235,4.104,0.061,207.254,3.377,0.140,211.592,2.874,0.141,218.924,2.538,0.108,9?N?:6:<Nn>N>N<<6r8:7Nnrn=6N>r>:=N>r><?N>r>>>N>r>?<N>r8:7N>Nn>N>N>r><=N>r>>>N>r><=N>rnn9N>Nn>N>N>r>>7N>r>>>N>r>=nN>r::?N>Nn>N>N>r>>6N>r>>>N>r>=8N>r:=:N>Nn>N>N>r>>8N>r>>>N>r>=8N>r:==N>Nn>N>N>r>>nN>r>>>N>r>=nN>r:=<N>Nn>N>N>r>>nN>r>>>N>r>=8N>r:=nN>Nn>N>N>r>>9N>r>>>N>r>=nN>r::9N>Nn>N>N>r>?:N>r>>>N>r>=<N>r:n9N>N:7N>N>r>?nN>r>>>N>r>=:N>r:=<N>N:7N>N>r>?6N>r>>>N>r>=:N>r:<7N>Nn>N>N>r>?8N>r>>>N>r>==N>r:=?N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
358000,15/04/2017 00:01:44,558403304,Shutter-Open,Fully Operational,10.783,0.029,39,44,20,32.86239 -106.28590,352.000,0,16.890,875.100,26.890,0.412,271.400,0,223.630,5.524,0.123,213.402,5.643,0.075,213.586,5.626,0.041,212.383,5.600,0.066,211.493,5.508,0.123,210.167,5.433,0.051,208.285,5.052,0.038,205.843,4.075,0.019,206.546,3.027,0.095,212.052,2.804,0.064,224.197,2.192,0.024,9?N?:6:?Nn>N>N<<6r><<Nnr<9<N>r?<8N>r><6N>r>>>N>r>??N>r6=9N>Nn>N>N>r><>N>r>>>N>r><:N>rnnnN>Nn>N>N>r>>6N>r>>>N>r>=:N>r::>N>Nn>N>N>r>>6N>r>>>N>r>=nN>r::=N>Nn>N?N>r>>nN>r>>>N>r>=:N>r:=6N>Nn>N>N>r>>nN>r>>>N>r>=nN>r:=6N>N:7N?N>r>>nN>r>>>N>r>=nN>r:<7N>Nn>N?N>r>>nN>r>>>N>r>==N>r:=8N>Nn>N>N>r>?<N>r>>>N>r>=:N>r::6N>Nn>N>N>r>?7N>r>>>N>r>=nN>r::8N>Nn>N>N>r>?7N>r>>>N>r>==N>r:=9N>N:7N>N>r>?7N>r>>>N>r>=<N>r:=<N>N?N>N7777N7777N7777N>r>>>N>r>>>N>r>>>N>r>>>N<
358012,15/04/2017 00:02:01,558403321,Shutter-Open,Fully Operational,10.780,0.029,39,44,20,32.86239 -106.28590,352.600,0,16.890,875.000,25.890,0.463,249.400,0,224.761,5.438,0.091,214.400,5.876,0.046,214.268,5.916,0.039,213.259,5.730,-0.016,211.451,5.496,-0.003,210.709,5.428,-0.030,208.274,4.964,-0.023,205.048,4.240,-0.056,209.568,2.887,0.036,214.831,2.618,-0.014,222.781,2.388,-0.005,9?N?:6:?Nn>N>N<<6r:8:Nnr=?7N>r>7>N>r><nN>r>>>N>r>?<N>r8>7N>Nn>N>N>r>?nN>r>>>N>r><nN>rn?nN>Nn>N?N>r>>nN>r>>>N>r>=:N>r:<<N>Nn>N>N>r>>:N>r>>>N>r>=nN>r:=nN>Nn>N>N>r>>nN>r>>>N>r>=nN>r:::N>Nn>N>N>r>>nN>r>>>N>r>=8N>r::<N>Nn>N?N>r>>:N>r>>>N>r>=:N>r::6N>Nn>N>N>r>>9N>r>>>N>r>=:N>r::=N>Nn>N?N>r>??N>r>>>N>r>=:N>r:=?N>Nn>N>N>r>?7N>r>>>N>r>=?N>r:n<N>N:7N>N>r><>N>r>>>N>r>==N>r:=7N>N:6N>N>r>?7N>r>>>N>r>=8N>r:<nN>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
358024,15/04/2017 00:02:18,558403338,Shutter-Open,Fully Operational,10.781,0.029,39,44,20,32.86239 -106.28590,352.500,0,16.890,875.100,25.390,0.669,255.100,0,226.522,5.416,0.031,216.046,5.912,-0.042,214.397,5.853,-0.050,214.913,5.813,-0.063,211.444,5.576,-0.039,211.174,5.559,-0.092,208.364,5.066,-0.076,206.728,4.468,-0.078,208.033,2.888,-0.061,212.183,2.520,-0.023,224.934,2.339,-0.025,9?N?:6:?Nn>N>N<=>r>6<Nnr<:<N>r?>:N>r>?8N>r>>>N>r>?<N>r8>>N>Nn>N>N>r>?8N>r>>>N>r><:N>rn<nN>Nn>N>N>r>>9N>r>>>N>r>=:N>r::nN>Nn>N>N>r>>6N>r>>>N>r>=:N>rn>=N>Nn>N>N>r>>6N>r>>>N>r>=nN>r:=6N>Nn>N>N>r>>nN>r>>>N>r>=nN>r::>N>Nn>N>N>r>>9N>r>>>N>r>=nN>r::>N>Nn>N>N>r>>8N>r>>>N>r>=nN>r:=nN>Nn>N>N>r>>6N>r>>>N>r>=nN>r::8N>N:7N>N>r>?9N>r>>>N>r>==N>r:=nN>N:7N>N>r><nN>r>>>N>r>=:N>r::>N>N:9N>N>r>?9N>r>>>N>r>==N>r:=>N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
358036,15/04/2017 00:02:36,558403356,Shutter-Open,Fully Operational,10.770,0.029,39,44,20,32.86239 -106.28590,352.500,0,16.890,875.100,24.390,0.720,239.400,0,227.072,5.500,0.079,215.102,6.063,-0.012,214.281,5.913,-0.059,214.272,5.853,-0.083,213.123,5.698,-0.063,213.757,5.696,-0.092,207.411,5.101,-0.139,206.921,4.510,-0.100,206.463,3.177,-0.060,209.817,2.581,-0.052,217.238,2.342,-0.056,9?N?:6:?Nn>N>N<<7r8>?Nnr=7:N>r??6N>r>?8N>r>>>N>r>?<N>r8?6N>Nn>N>N>r>?:N>r>>>N>r><:N>rn=:N>Nn>N>N>r>>9N>r>>>N>r>=:N>r::6N>Nn>N>N>r>>7N>r>>>N>r>=nN>r::nN>Nn>N>N>r>>9N>r>>>N>r>=8N>r:=7N>Nn>N>N>r>>9N>r>>>N>r>=:N>r:n?N>Nn>N>N>r>>8N>r>>>N>r>=8N>r:=7N>Nn>N>N>r>>6N>r>>>N>r>=8N>r::8N>Nn>N>N>r>>6N>r>>>N>r>=:N>r::?N>N:7N>N>r>?8N>r>>>N>r>=>N>r::9N>Nn>N>N>r>?7N>r>>>N>r>=<N>r::>N>N:9N>N>r><<N>r>>>N>r>=?N>r:<nN>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
358048,15/04/2017 00:02:53,558403373,Shutter-Open,Fully Operational,10.768,0.030,39,44,20,32.86239 -106.28590,352.400,0,16.890,875.000,23.390,0.875,226.700,0,228.424,5.531,0.033,215.305,6.058,-0.043,214.061,5.940,-0.038,213.490,5.828,-0.054,214.419,5.778,-0.072,213.094,5.773,-0.056,208.396,5.324,-0.097,206.855,4.647,-0.098,206.002,3.547,-0.127,207.848,2.914,-0.103,215.618,2.409,-0.091,9?N?:6:?Nn>N>N<<7r78nNnr:n7N>r>n=N>r>?nN>r>>>N>r>??N>r8nnN>Nn>N>N>r>?=N>r>>>N>r><=N>rn:<N>Nn>N>N>r>?>N>r>>>N>r>=nN>r::=N>Nn>N>N>r>>6N>r>>>N>r>=8N>r:::N>Nn>N>N>r>>8N>r>>>N>r>=nN>r::?N>Nn>N>N>r>>8N>r>>>N>r>=nN>r:::N>Nn>N>N>r>?>N>r>>>N>r>=8N>r::>N>Nn>N>N>r>>9N>r>>>N>r>=nN>r:=6N>N:7N>N>r>>8N>r>>>N>r>=:N>r:==N>N:7N>N>r>?nN>r>>>N>r>==N>r::<N>N:7N>N>r>?9N>r>>>N>r>=:N>r:=9N>N:6N>N>r><<N>r>>>N>r><9N>r:<7N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
358061,15/04/2017 00:03:12,558403392,Shutter-Open,Fully Operational,10.772,0.029,39,44,20,32.86239 -106.28590,352.500,0,16.790,875.100,22.500,1.029,224.400,0,225.420,5.617,-0.088,215.848,5.778,-0.111,215.315,5.720,-0.110,213.842,5.666,-0.104,211.181,5.695,-0.101,210.473,5.546,-0.127,207.493,5.427,-0.136,207.213,4.783,-0.114,205.942,3.766,-0.086,206.077,3.227,-0.104,210.862,2.657,-0.106,9<N?:6:?Nn>N>N<<nr9n>Nnrn??N#>r>n?N>r><=N>r>>>N>r>?<N>r8<:N>Nn>N>N>r>?nN>r>>>N>r><nN>rn<>N>Nn>N>N>r>>6N>r>>>N>r>=nN>r:=9N>Nn>N>N>r>>8N>r>>>N>r>=9N>r::?N>Nn>N>N>r>>9N>r>>>N>r>=9N>r::8N>Nn>N>N>r>>8N>r>>>N>r>=8N>r::?N>Nn>N>N>r>>9N>r>>>N>r>=nN>r:=9N>Nn>N>N>r>>nN>r>>>N>r>=8N>r:=6N>N:7N>N>r>>9N>r>>>N>r>=8N>r:==N>Nn>N>N>r>?<N>r>>>N>r>=nN>r::9N>N:7N>N>r>?6N>r>>>N>r>=<N>r:=9N>N:7N>N>r><:N>r>>>N>r>=?N>r:=:N>N>N>N7777N7777N7777N>r>>>N>r>>>N>r>>>N>r>>>N<
358073,15/04/2017 00:03:29,558403409,Shutter-Open,Fully Operational,10.774,0.030,39,45,20,32.86239 -106.28590,352.500,1,16.790,875.000,21.600,0.977,212.600,0,226.103,5.510,-0.119,215.510,5.674,-0.078,214.476,5.553,-0.072,212.174,5.491,-0.131,210.502,5.491,-0.108,209.703,5.399,-0.106,207.225,5.458,-0.105,206.683,4.796,-0.071,206.805,4.056,-0.126,205.334,3.672,-0.136,209.706,2.838,-0.063,9?N?:6:?Nn>N>N<<9rn9<Nnr:?6N#>r>6=N>r>?8N>r>>>N>r>?<N>rn78N>Nn>N>N>r>?nN>r>>>N>r><nN>rn>8N>Nn>N>N>r>>6N>r>>>N>r>=:N>r:=6N>Nn>N>N>r>?>N>r>>>N>r>=nN>r:=nN>Nn>N>N>r>>9N>r>>>N>r>=nN>r:=7N>Nn>N>N>r>>9N>r>>>N>r>=8N>r:=6N>Nn>N>N>r>>8N>r>>>N>r>=nN>r::=N>Nn>N>N>r>>nN>r>>>N>r>=9N>r:=9N>N:6N>N>r>>8N>r>>>N>r>=9N>r:<6N>N:7N>N>r>>6N>r>>>N>r>==N>r:==N>Nn>N>N>r>?9N>r>>>N>r>=?N>r::8N>N:7N>N>r><<N>r>>>N>r>=?N>r:=7N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
358085,15/04/2017 00:03:46,558403426,Shutter-Open,Fully Operational,10.763,0.029,39,45,20,32.86239 -106.28590,352.500,0,16.790,875.100,21.100,1.132,214.100,0,226.245,5.480,-0.071,215.184,5.509,-0.077,215.612,5.377,-0.095,214.123,5.309,-0.101,210.538,5.329,-0.098,210.456,5.223,-0.095,208.922,5.242,-0.111,206.541,4.908,-0.104,205.861,4.135,-0.081,204.980,3.745,-0.097,208.013,3.190,-0.097,9<N?:6:?Nn>N>N<=>r?:7Nnr:?8N#>r>:7N>r>?8N>r>>>N>r>?=N>r8<>N>Nn>N>N>r>?:N>r>>>N>r><nN>rn=7N>Nn>N>N>r>>nN>r>>>N>r>=:N>r::<N>Nn>N>N>r>>9N>r>>>N>r>=nN>r:=6N>Nn>N>N>r>>7N>r>>>N>r>=8N>r::<N>Nn>N>N>r>>8N>r>>>N>r>=nN>r:=8N>Nn>N>N>r>>9N>r>>>N>r>=9N>r:=6N>Nn>N>N>r>>nN>r>>>N>r>=9N>r:=6N>Nn>N>N>r>>9N>r>>>N>r>=8N>r:=6N>Nn>N>N>r>?>N>r>>>N>r>=6N>r::>N>N:7N>N>r>??N>r>>>N>r>=>N>r:=6N>N:7N>N>r><>N>r>>>N>r>=<N>r::?N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
