CSV Converter: v1.113,Filter: v1.026,File system version: v4,Unit: 320,Time sync: Not synced,38m is a fixed reference measurement,The GPS field contains latitude and longitude coordinates in decimal degrees (positive sign indicates North or East),ZephIR window height above ground: 1.0m,Measurement heights: 300m 77m 60m 46m 38m 36m 28m 22m 16m 13m 10m
Reference,Time and Date,Timestamp (s),Info. Flags,Status Flags,Battery (V),Generator (V),Upper Temp. (C),Lower Temp. (C),Pod Humidity (%),GPS,ZephIR Bearing (deg),Tilt (deg),Air Temp. (C),Pressure (mbar),Humidity (%),MET Wind Speed (m/s),MET Direction (deg),Raining,Wind Direction (deg) at 300m,Horizontal Wind Speed (m/s) at 300m,Vertical Wind Speed (m/s) at 300m,Wind Direction (deg) at 77m,Horizontal Wind Speed (m/s) at 77m,Vertical Wind Speed (m/s) at 77m,Wind Direction (deg) at 60m,Horizontal Wind Speed (m/s) at 60m,Vertical Wind Speed (m/s) at 60m,Wind Direction (deg) at 46m,Horizontal Wind Speed (m/s) at 46m,Vertical Wind Speed (m/s) at 46m,Wind Direction (deg) at 38m,Horizontal Wind Speed (m/s) at 38m,Vertical Wind Speed (m/s) at 38m,Wind Direction (deg) at 36m,Horizontal Wind Speed (m/s) at 36m,Vertical Wind Speed (m/s) at 36m,Wind Direction (deg) at 28m,Horizontal Wind Speed (m/s) at 28m,Vertical Wind Speed (m/s) at 28m,Wind Direction (deg) at 22m,Horizontal Wind Speed (m/s) at 22m,Vertical Wind Speed (m/s) at 22m,Wind Direction (deg) at 16m,Horizontal Wind Speed (m/s) at 16m,Vertical Wind Speed (m/s) at 16m,Wind Direction (deg) at 13m,Horizontal Wind Speed (m/s) at 13m,Vertical Wind Speed (m/s) at 13m,Wind Direction (deg) at 10m,Horizontal Wind Speed (m/s) at 10m,Vertical Wind Speed (m/s) at 10m,Checksum:M^[sZkc~rs&M'N]{~k|mo~omgza|s&cX'N^ag`z}sg`sHgzsozs^AG@Z]QG@QHGZcN^ag`z}sCg}}kjsozs^AG@Z]QCG]]KJcNYg`jsJg|kmzga`s&jki'sozsYG@JQJG\QJKI]cNFa|gta`zobsYg`js]~kkjs&c!}'sozsFA\GTA@ZOBQYG@JQ]^JcNXk|zgmobsYg`js]~kkjs&c!}'sozsXK\ZGMOBQYG@JQ]^JcN]~ozgobsXo|gozga`sozs]^OZGOBQXO\GOZGA@cNMba{js]mobg`isozsMBA[JQ]MOBG@IcNLome}mozzk|s&!?r=k#8!c!}|'sozsLOME]MOZZK\cNFa|gta`zobs[`mk|zog`zws&c!}'sozsFA\GTA@ZOBQ]^JQMA@HGJK@MKcNJozosXobgjgzwsozsJOZOQG@XOBGJcN^ag`z}sg`sHgzsozs=>>cN^ag`z}sCg}}kjsozs=>>cN]~ozgobsXo|gozga`sozs=>>cNMba{js]mobg`isozs=>>cNLome}mozzk|s&!?r=k#8!c!}|'sozs=>>cNFa|gta`zobs[`mk|zog`zws&c!}'sozs=>>cNJozosXobgjgzwsozs=>>cN^ag`z}sg`sHgzsozs99cN^ag`z}sCg}}kjsozs99cN]~ozgobsXo|gozga`sozs99cNMba{js]mobg`isozs99cNLome}mozzk|s&!?r=k#8!c!}|'sozs99cNFa|gta`zobs[`mk|zog`zws&c!}'sozs99cNJozosXobgjgzwsozs99cN^ag`z}sg`sHgzsozs8>cN^ag`z}sCg}}kjsozs8>cN]~ozgobsXo|gozga`sozs8>cNMba{js]mobg`isozs8>cNLome}mozzk|s&!?r=k#8!c!}|'sozs8>cNFa|gta`zobs[`mk|zog`zws&c!}'sozs8>cNJozosXobgjgzwsozs8>cN^ag`z}sg`sHgzsozs:8cN^ag`z}sCg}}kjsozs:8cN]~ozgobsXo|gozga`sozs:8cNMba{js]mobg`isozs:8cNLome}mozzk|s&!?r=k#8!c!}|'sozs:8cNFa|gta`zobs[`mk|zog`zws&c!}'sozs:8cNJozosXobgjgzwsozs:8cN^ag`z}sg`sHgzsozs=6cN^ag`z}sCg}}kjsozs=6cN]~ozgobsXo|gozga`sozs=6cNMba{js]mobg`isozs=6cNLome}mozzk|s&!?r=k#8!c!}|'sozs=6cNFa|gta`zobs[`mk|zog`zws&c!}'sozs=6cNJozosXobgjgzwsozs=6cN^ag`z}sg`sHgzsozs=8cN^ag`z}sCg}}kjsozs=8cN]~ozgobsXo|gozga`sozs=8cNMba{js]mobg`isozs=8cNLome}mozzk|s&!?r=k#8!c!}|'sozs=8cNFa|gta`zobs[`mk|zog`zws&c!}'sozs=8cNJozosXobgjgzwsozs=8cN^ag`z}sg`sHgzsozs<6cN^ag`z}sCg}}kjsozs<6cN]~ozgobsXo|gozga`sozs<6cNMba{js]mobg`isozs<6cNLome}mozzk|s&!?r=k#8!c!}|'sozs<6cNFa|gta`zobs[`mk|zog`zws&c!}'sozs<6cNJozosXobgjgzwsozs<6cN^ag`z}sg`sHgzsozs<<cN^ag`z}sCg}}kjsozs<<cN]~ozgobsXo|gozga`sozs<<cNMba{js]mobg`isozs<<cNLome}mozzk|s&!?r=k#8!c!}|'sozs<<cNFa|gta`zobs[`mk|zog`zws&c!}'sozs<<cNJozosXobgjgzwsozs<<cN^ag`z}sg`sHgzsozs?8cN^ag`z}sCg}}kjsozs?8cN]~ozgobsXo|gozga`sozs?8cNMba{js]mobg`isozs?8cNLome}mozzk|s&!?r=k#8!c!}|'sozs?8cNFa|gta`zobs[`mk|zog`zws&c!}'sozs?8cNJozosXobgjgzwsozs?8cN^ag`z}sg`sHgzsozs?=cN^ag`z}sCg}}kjsozs?=cN]~ozgobsXo|gozga`sozs?=cNMba{js]mobg`isozs?=cNLome}mozzk|s&!?r=k#8!c!}|'sozs?=cNFa|gta`zobs[`mk|zog`zws&c!}'sozs?=cNJozosXobgjgzwsozs?=cN^ag`z}sg`sHgzsozs?>cN^ag`z}sCg}}kjsozs?>cN]~ozgobsXo|gozga`sozs?>cNMba{js]mobg`isozs?>cNLome}mozzk|s&!?r=k#8!c!}|'sozs?>cNFa|gta`zobs[`mk|zog`zws&c!}'sozs?>cNJozosXobgjgzwsozs?>cN^ag`z}sg`sHgzsozs^AG@Z]QG@QHGZcN^ag`z}sCg}}kjsozs^AG@Z]QCG]]KJcNYg`jsJg|kmzga`s&jki'sozsYG@JQJG\QJKI]cNFa|gta`zobsYg`js]~kkjs&c!}'sozsFA\GTA@ZOBQYG@JQ]^JcNXk|zgmobsYg`js]~kkjs&c!}'sozsXK\ZGMOBQYG@JQ]^JcN]~ozgobsXo|gozga`sozs]^OZGOBQXO\GOZGA@cNMba{js]mobg`isozsMBA[JQ]MOBG@IcNLome}mozzk|s&!?r=k#8!c!}|'sozsLOME]MOZZK\cNFa|gta`zobs[`mk|zog`zws&c!}'sozsFA\GTA@ZOBQ]^JQMA@HGJK@MKcNJozosXobgjgzwsozsJOZOQG@XOBGJc
1010701,26/04/2017 14:37:16,559406236,Shutter-Open StartedUp,Fully Operational,10.741,0.029,37,39,18,32.86239 -106.28590,353.000,0,24.290,874.200,13.600,2.984,61.700,0,64.662,3.397,-0.137,61.601,3.910,-0.174,82.584,3.758,0.078,79.210,3.733,0.139,36.546,3.294,0.066,68.282,3.369,0.177,64.919,3.067,0.010,59.224,2.940,-0.058,65.608,2.881,0.160,71.126,2.651,0.124,53.256,2.781,0.016,89N?:6nnN=?N>Nn:r:6?N<r<?:N#>r8n?N>r>6<N>r>>>N>r>>>N?r<>6N>N:=N>N>r>n8N>r>>>N>r>>?N>r8n6N>N:6N=N>r?>?N>r>>>N>r>><N>rn7<N>Nn>N>N>r>6=N>r>>>N>r>><N>rn=?N>Nn>N?N>r>99N>r>>>N>r>>=N>rn=>N>Nn>N>N>r>8>N>r>>>N>r>>=N>rn>nN>Nn>N>N>r>9>N>r>>>N>r>>=N>r:9?N>N:6N>N>r?>=N>r>>>N>r>>=N>r:6:N>N:9N>N>r?<9N>r>>>N>r>><N>rn=7N>N::N>N>r>66N>r>>>N>r>>=N>r:78N>N:=N>N>r?=>N>r>>>N>r>>=N>rn>8N>N=9N>N>r>7=N>r>>>N>r>>8N>r:89N>N>N>N7777N7777N7777N>r>>>N>r>>>N>r>>>N>r>>>N<
1010713,26/04/2017 14:38:16,559406296,Shutter-Open LaserNotEmitting,Laser-Fault LaserNotEmitting,10.745,0.030,37,39,18,32.86239 -106.28590,352.500,0,24.290,874.200,13.690,0.514,90.600,0,54.726,2.081,-0.541,30.399,3.274,0.171,32.995,2.496,0.099,25.768,2.809,-0.099,26.891,2.559,0.081,33.108,3.154,0.162,37.470,2.987,-0.026,40.159,3.028,-0.047,42.986,2.676,-0.181,39.430,2.913,-0.190,44.686,2.567,-0.358,89N?:6n=N:>N?N7777N7777N7777N>r>87N>r>>>N>r>?7N>r7<=N?Nn>N>N>r>9:N>r>>>N>r>>?N>r86<N>N:6N>N>r?>8N>r>>>N>r>><N>rnn7N>Nn>N>N>r?=<N>r>>>N>r>><N>rn:?N>Nn>N?N>r>7>N>r>>>N>r>>=N>rn?=N>Nn>N?N>r>9<N>r>>>N>r>>:N>r:9>N>N:7N>N>r>n7N>r>>>N>r>>=N>r:6>N>Nn>N>N>r>:<N>r>>>N>r>>:N>r:n9N>N:6N?N>r>=>N>r>>>N>r>>:N>r::=N>N:nN?N>r>=nN>r>>>N>r>>:N>r:=7N>N:nN>N>r>n7N>r>>>N>r>>:N>r:=7N>N::N?N>r>:nN>r>>>N>r>>=N>r:n>N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
1010725,26/04/2017 14:38:33,559406313,Shutter-Open,Fully Operational,10.750,0.030,37,39,18,32.86239 -106.28590,352.300,0,24.200,874.200,13.690,2.881,72.200,0,51.122,2.411,-0.363,56.854,2.657,-0.262,62.756,2.881,-0.334,67.507,2.811,-0.287,81.254,2.164,-0.244,61.696,2.843,0.049,72.957,2.609,0.088,68.477,2.562,-0.120,82.990,3.721,0.494,88.868,2.987,0.225,84.211,2.771,0.062,86N?:6n=N:?N>Nn9r=:8N<r<8>N#>r=>:N>r>9nN>r>>>N>r>>>N>r7<8N>N:7N>N>r>87N>r>>>N>r>><N>rn7=N>Nn>N?N>r?==N>r>>>N>r>>=N>rn9<N>Nn>N>N>r>:8N>r>>>N>r>>=N>rn=>N>Nn>N>N>r>:6N>r>>>N>r>>:N>r:77N>N:7N>N>r>97N>r>>>N>r>>:N>r:9:N>Nn>N>N>r>9>N>r>>>N>r>>:N>r:97N>Nn>N>N>r>n6N>r>>>N>r>>:N>r:6?N>Nn>N>N>r>6<N>r>>>N>r>>nN>r:66N>N:6N>N>r>98N>r>>>N>r>>8N>r::6N>N:6N<N>r>n6N>r>>>N>r>>9N>r::<N>N:9N>N>r>n7N>r>>>N>r>>8N>r:=7N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
1010737,26/04/2017 14:38:52,559406332,Shutter-Open,Fully Operational,10.733,0.030,37,39,18,32.86240 -106.28590,352.400,1,24.100,874.100,13.600,2.984,93.200,0,49.749,2.636,-0.410,108.698,1.843,-0.081,85.799,2.443,-0.122,81.963,2.184,-0.150,86.328,2.844,-0.277,80.233,2.163,0.000,89.185,2.124,-0.098,95.410,2.121,-0.167,85.468,2.113,-0.137,87.744,2.115,-0.172,86.091,2.516,-0.154,86N?:6n=N::N>N=7r=<8N<rn:9N#>r:n9N>r>6>N>r>>>N>r>>>N>r76<N>Nn>N>N>r?>:N>r>>>N>r>>?N>r8<9N>Nn>N=N>r?=8N>r>>>N>r>>=N>rnn8N>Nn>N?N>r>87N>r>>>N>r>>:N>rn<9N>Nn>N>N>r>6=N>r>>>N>r>>:N>r:6?N>Nn>N>N>r>79N>r>>>N>r>>:N>rn?>N>N:7N>N>r>96N>r>>>N>r>>:N>r:9=N>N:6N>N>r>89N>r>>>N>r>>nN>r:8<N>N:7N?N>r>87N>r>>>N>r>>nN>r:nnN>N:9N>N>r>8:N>r>>>N>r>>nN>r:n8N>N:nN>N>r>99N>r>>>N>r>>:N>r::nN>N:6N>N>r>n=N>r>>>N>r>>6N>r:=nN>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
1010749,26/04/2017 14:39:09,559406349,Shutter-Open,Fully Operational,10.743,0.030,38,39,18,32.86241 -106.28590,352.300,1,24.100,874.200,13.890,2.366,102.300,0,30.967,2.772,-0.495,74.697,3.583,0.138,82.867,3.638,0.222,87.362,3.485,0.075,79.650,2.899,0.012,85.452,3.217,-0.103,84.882,2.874,-0.228,93.333,2.281,-0.251,94.529,2.273,-0.266,93.445,2.204,-0.172,91.335,2.159,-0.191,89N?:6n=N:>N>N<6r<98N<r=69N#>rn9?N>r>9<N>r>>>N>r>>>N?r?7>N>Nn>N>N>r>99N>r>>>N>r>><N>r8?6N>Nn>N>N>r>7>N>r>>>N>r>>=N>rn6>N>Nn>N>N>r>97N>r>>>N>r>>=N>rn99N>Nn>N>N>r>::N>r>>>N>r>>:N>rn?<N>Nn>N>N>r>77N>r>>>N>r>>:N>rn8>N>N:6N>N>r>:6N>r>>>N>r>>:N>r:69N>N:7N>N>r>8?N>r>>>N>r>>:N>r:6<N>N:9N>N>r>87N>r>>>N>r>>nN>r:n9N>N:nN>N>r>:9N>r>>>N>r>>9N>r::=N>N:9N>N>r?>8N>r>>>N>r>>nN>r:9nN>N:8N>N>r???N>r>>>N>r>>nN>r:8?N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
1010762,26/04/2017 14:39:28,559406368,Shutter-Open,Fully Operational,10.752,0.030,38,40,18,32.86241 -106.28590,352.400,0,24.100,874.300,13.190,2.366,79.600,0,32.238,2.615,-0.440,61.708,3.475,0.283,73.827,3.102,0.283,83.321,2.566,0.239,89.200,2.812,0.601,84.878,2.808,0.099,85.122,2.725,0.132,104.386,2.088,-0.034,105.547,2.569,0.059,96.355,3.293,0.363,91.748,3.090,0.143,86N?:6n<N:<N>N=:r>=?N<r=9?N#>r=8:N>r>:6N>r>>>N>r>>>N?r>69N>Nn>N>N>r>n8N>r>>>N>r>><N>r8:<N>Nn>N>N>r?<?N>r>>>N>r>>=N>r8?nN>Nn>N>N>r?<?N>r>>>N>r>>=N>r8>7N>Nn>N>N>r?>=N>r>>>N>r>>=N>rn7?N>Nn>N>N>r?=:N>r>>>N>r>>=N>rn==N>Nn>N>N>r>7:N>r>>>N>r>>nN>rn<?N>Nn>N>N>r>9?N>r>>>N>r>>:N>rn>9N>Nn>N>N>r?<9N>r>>>N>r>>:N>r:79N>Nn>N>N>r?=9N>r>>>N>r>>nN>r:6nN>N:8N>N>r>:6N>r>>>N>r>>nN>r:n=N>N:6N>N>r>:=N>r>>>N>r>>9N>r:=6N>N>N>N7777N7777N7777N>r>>>N>r>>>N>r>>>N>r>>>N<
1010774,26/04/2017 14:39:46,559406386,Shutter-Open,Fully Operational,10.756,0.029,38,40,18,32.86241 -106.28590,352.300,0,24.100,874.200,13.000,2.469,61.800,0,43.691,2.512,-0.416,55.276,2.579,-0.258,67.148,3.255,0.014,65.021,3.800,0.246,65.556,3.111,0.076,59.840,4.086,0.161,61.280,3.607,0.123,64.766,3.421,0.194,63.123,3.150,0.202,66.867,2.929,0.171,64.926,2.609,0.102,86N?:6n=N:<N<N=7r:7<N<rn97N#>r=7=N>r>6=N>r>>>N>r>>>N?r<?:N>Nn>N>N>r>99N>r>>>N>r>><N>r8:>N>Nn>N>N>r>:8N>r>>>N>r>>=N>rn<=N>Nn>N>N>r>nnN>r>>>N>r>>=N>rn:8N>Nn>N>N>r>86N>r>>>N>r>>:N>rn<?N>Nn>N>N>r>97N>r>>>N>r>>nN>r:69N>Nn>N>N>r>n:N>r>>>N>r>>:N>r:67N>Nn>N>N>r>9:N>r>>>N>r>>nN>r:7<N>Nn>N?N>r>9?N>r>>>N>r>>nN>r:9:N>Nn>N>N>r>96N>r>>>N>r>>8N>r:n6N>Nn>N?N>r>n6N>r>>>N>r>>nN>r:n7N>N:8N>N>r>n8N>r>>>N>r>>=N>r:=7N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
1010786,26/04/2017 14:40:07,559406407,Shutter-Open,Fully Operational,10.748,0.030,38,40,18,32.86241 -106.28590,352.800,0,23.700,874.200,14.100,2.984,62.500,0,45.047,2.266,-0.633,57.759,2.754,-0.245,56.081,2.781,-0.175,65.198,2.359,-0.358,74.695,2.520,-0.606,67.006,2.279,-0.386,65.591,2.218,-0.429,72.344,2.214,-0.321,73.222,2.426,-0.350,66.640,2.380,-0.322,73.096,2.248,-0.345,86N?:6n<N::N>N=6r:=>N<r<n:N#>r:96N>r>66N>r>>>N>r>>>N?r<>:N>Nn>N>N>r>8>N>r>>>N>r>><N>r87<N>N:7N?N>r>87N>r>>>N>r>>:N>rn<?N>Nn>N?N>r>9:N>r>>>N>r>>:N>rn<7N>Nn>N?N>r>9?N>r>>>N>r>>:N>rn8<N>Nn>N>N>r>=7N>r>>>N>r>>nN>r:6=N>Nn>N>N>r>96N>r>>>N>r>>:N>rn8:N>N:8N>N>r>6<N>r>>>N>r>>nN>r:8nN>Nn>N>N>r>9?N>r>>>N>r>>nN>r:8<N>N:6N?N>r>87N>r>>>N>r>>nN>r:::N>N:9N?N>r>8<N>r>>>N>r>>8N>r:87N>N:8N>N>r>88N>r>>>N>r>>:N>r:==N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
1010798,26/04/2017 14:40:24,559406424,Shutter-Open,Fully Operational,10.759,0.030,38,40,18,32.86241 -106.28590,352.300,0,23.790,874.200,13.600,2.161,69.300,0,41.808,2.015,-0.639,57.087,2.574,-0.550,59.391,2.529,-0.534,56.579,2.471,-0.508,66.736,1.673,-0.322,67.074,2.210,-0.475,75.133,1.832,-0.588,77.930,1.774,-0.595,63.992,1.824,-0.655,69.558,1.686,-0.568,64.755,1.590,-0.149,86N?:6n<N:?N>N:6r778N?r68nN#>rn7=N>r>7=N>r>>>N>r>>>N?r<?nN>N:7N>N>r>6>N>r>>>N>r>>?N>r9=9N>Nn>N?N>r>=6N>r>>>N>r>>nN>r:76N>Nn>N>N>r>n=N>r>>>N>r>>nN>r:97N>N:7N>N>r>9>N>r>>>N>r>>nN>rn>:N>Nn>N>N>r?8nN>r>>>N>r>>:N>rn6?N>Nn>N>N>r?>>N>r>>>N>r>>nN>rn?=N>Nn>N>N>r>77N>r>>>N>r>>nN>rn97N>N:nN>N>r>9nN>r>>>N>r>>8N>rn:>N>N:8N>N>r>96N>r>>>N>r>>nN>rnn>N>N:nN?N>r>9nN>r>>>N>r>>:N>rn:?N>N:6N>N>r?<<N>r>>>N>r>>7N>rn>>N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
1010810,26/04/2017 14:40:42,559406442,Shutter-Open,Fully Operational,10.750,0.030,38,40,18,32.86241 -106.28590,352.300,0,24.000,874.300,13.190,1.286,83.100,0,45.381,1.904,-0.554,62.576,2.289,-0.477,57.284,2.238,-0.606,51.875,2.081,-0.676,76.291,1.805,-0.621,50.514,2.288,-0.482,64.188,1.985,-0.383,59.702,1.721,-0.476,45.202,1.685,-0.504,52.395,1.809,-0.518,53.840,2.648,-0.266,86N?:6n?N:>N>N:8r:96N?rn><N#>r=9?N>r?:>N>r>>>N>r>>>N?r?76N>N:6N>N>r??9N>r>>>N>r>>?N>r6<6N>Nn>N>N>r>9?N>r>>>N>r>>:N>rn9>N>N:7N>N>r>=6N>r>>>N>r>>:N>rn=>N>Nn>N>N>r>8<N>r>>>N>r>>:N>rnn6N>N:6N?N>r>6nN>r>>>N>r>>:N>r8>?N>Nn>N>N>r>68N>r>>>N>r>>:N>rn??N>Nn>N>N>r>7<N>r>>>N>r>>=N>rn7=N>N:6N>N>r?>6N>r>>>N>r>>:N>rnn6N>N:8N<N>r>9>N>r>>>N>r>>:N>rnn6N>N:9N>N>r>6>N>r>>>N>r>>nN>rn=nN>Nn>N>N>r>6=N>r>>>N>r>>:N>r:89N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
