CSV Converter: v1.113,Filter: v1.026,File system version: v4,Unit: 320,Time sync: Not synced,38m is a fixed reference measurement,The GPS field contains latitude and longitude coordinates in decimal degrees (positive sign indicates North or East),ZephIR window height above ground: 1.0m,Measurement heights: 300m 214m 153m 109m 78m 55m 38m 28m 20m 14m 10m
Reference,Time and Date,Timestamp (s),Info. Flags,Status Flags,Battery (V),Generator (V),Upper Temp. (C),Lower Temp. (C),Pod Humidity (%),GPS,ZephIR Bearing (deg),Tilt (deg),Air Temp. (C),Pressure (mbar),Humidity (%),MET Wind Speed (m/s),MET Direction (deg),Raining,Wind Direction (deg) at 300m,Horizontal Wind Speed (m/s) at 300m,Vertical Wind Speed (m/s) at 300m,Wind Direction (deg) at 214m,Horizontal Wind Speed (m/s) at 214m,Vertical Wind Speed (m/s) at 214m,Wind Direction (deg) at 153m,Horizontal Wind Speed (m/s) at 153m,Vertical Wind Speed (m/s) at 153m,Wind Direction (deg) at 109m,Horizontal Wind Speed (m/s) at 109m,Vertical Wind Speed (m/s) at 109m,Wind Direction (deg) at 78m,Horizontal Wind Speed (m/s) at 78m,Vertical Wind Speed (m/s) at 78m,Wind Direction (deg) at 55m,Horizontal Wind Speed (m/s) at 55m,Vertical Wind Speed (m/s) at 55m,Wind Direction (deg) at 38m,Horizontal Wind Speed (m/s) at 38m,Vertical Wind Speed (m/s) at 38m,Wind Direction (deg) at 28m,Horizontal Wind Speed (m/s) at 28m,Vertical Wind Speed (m/s) at 28m,Wind Direction (deg) at 20m,Horizontal Wind Speed (m/s) at 20m,Vertical Wind Speed (m/s) at 20m,Wind Direction (deg) at 14m,Horizontal Wind Speed (m/s) at 14m,Vertical Wind Speed (m/s) at 14m,Wind Direction (deg) at 10m,Horizontal Wind Speed (m/s) at 10m,Vertical Wind Speed (m/s) at 10m,Checksum:M^[sZkc~rs&M'N]{~k|mo~omgza|s&cX'N^ag`z}sg`sHgzsozs^AG@Z]QG@QHGZcN^ag`z}sCg}}kjsozs^AG@Z]QCG]]KJcNYg`jsJg|kmzga`s&jki'sozsYG@JQJG\QJKI]cNFa|gta`zobsYg`js]~kkjs&c!}'sozsFA\GTA@ZOBQYG@JQ]^JcNXk|zgmobsYg`js]~kkjs&c!}'sozsXK\ZGMOBQYG@JQ]^JcN]~ozgobsXo|gozga`sozs]^OZGOBQXO\GOZGA@cNMba{js]mobg`isozsMBA[JQ]MOBG@IcNLome}mozzk|s&!?r=k#8!c!}|'sozsLOME]MOZZK\cNFa|gta`zobs[`mk|zog`zws&c!}'sozsFA\GTA@ZOBQ]^JQMA@HGJK@MKcNJozosXobgjgzwsozsJOZOQG@XOBGJcN^ag`z}sg`sHgzsozs=>>cN^ag`z}sCg}}kjsozs=>>cN]~ozgobsXo|gozga`sozs=>>cNMba{js]mobg`isozs=>>cNLome}mozzk|s&!?r=k#8!c!}|'sozs=>>cNFa|gta`zobs[`mk|zog`zws&c!}'sozs=>>cNJozosXobgjgzwsozs=>>cN^ag`z}sg`sHgzsozs<?:cN^ag`z}sCg}}kjsozs<?:cN]~ozgobsXo|gozga`sozs<?:cNMba{js]mobg`isozs<?:cNLome}mozzk|s&!?r=k#8!c!}|'sozs<?:cNFa|gta`zobs[`mk|zog`zws&c!}'sozs<?:cNJozosXobgjgzwsozs<?:cN^ag`z}sg`sHgzsozs?n=cN^ag`z}sCg}}kjsozs?n=cN]~ozgobsXo|gozga`sozs?n=cNMba{js]mobg`isozs?n=cNLome}mozzk|s&!?r=k#8!c!}|'sozs?n=cNFa|gta`zobs[`mk|zog`zws&c!}'sozs?n=cNJozosXobgjgzwsozs?n=cN^ag`z}sg`sHgzsozs?>7cN^ag`z}sCg}}kjsozs?>7cN]~ozgobsXo|gozga`sozs?>7cNMba{js]mobg`isozs?>7cNLome}mozzk|s&!?r=k#8!c!}|'sozs?>7cNFa|gta`zobs[`mk|zog`zws&c!}'sozs?>7cNJozosXobgjgzwsozs?>7cN^ag`z}sg`sHgzsozs96cN^ag`z}sCg}}kjsozs96cN]~ozgobsXo|gozga`sozs96cNMba{js]mobg`isozs96cNLome}mozzk|s&!?r=k#8!c!}|'sozs96cNFa|gta`zobs[`mk|zog`zws&c!}'sozs96cNJozosXobgjgzwsozs96cN^ag`z}sg`sHgzsozsnncN^ag`z}sCg}}kjsozsnncN]~ozgobsXo|gozga`sozsnncNMba{js]mobg`isozsnncNLome}mozzk|s&!?r=k#8!c!}|'sozsnncNFa|gta`zobs[`mk|zog`zws&c!}'sozsnncNJozosXobgjgzwsozsnncN^ag`z}sg`sHgzsozs=6cN^ag`z}sCg}}kjsozs=6cN]~ozgobsXo|gozga`sozs=6cNMba{js]mobg`isozs=6cNLome}mozzk|s&!?r=k#8!c!}|'sozs=6cNFa|gta`zobs[`mk|zog`zws&c!}'sozs=6cNJozosXobgjgzwsozs=6cN^ag`z}sg`sHgzsozs<6cN^ag`z}sCg}}kjsozs<6cN]~ozgobsXo|gozga`sozs<6cNMba{js]mobg`isozs<6cNLome}mozzk|s&!?r=k#8!c!}|'sozs<6cNFa|gta`zobs[`mk|zog`zws&c!}'sozs<6cNJozosXobgjgzwsozs<6cN^ag`z}sg`sHgzsozs<>cN^ag`z}sCg}}kjsozs<>cN]~ozgobsXo|gozga`sozs<>cNMba{js]mobg`isozs<>cNLome}mozzk|s&!?r=k#8!c!}|'sozs<>cNFa|gta`zobs[`mk|zog`zws&c!}'sozs<>cNJozosXobgjgzwsozs<>cN^ag`z}sg`sHgzsozs?:cN^ag`z}sCg}}kjsozs?:cN]~ozgobsXo|gozga`sozs?:cNMba{js]mobg`isozs?:cNLome}mozzk|s&!?r=k#8!c!}|'sozs?:cNFa|gta`zobs[`mk|zog`zws&c!}'sozs?:cNJozosXobgjgzwsozs?:cN^ag`z}sg`sHgzsozs?>cN^ag`z}sCg}}kjsozs?>cN]~ozgobsXo|gozga`sozs?>cNMba{js]mobg`isozs?>cNLome}mozzk|s&!?r=k#8!c!}|'sozs?>cNFa|gta`zobs[`mk|zog`zws&c!}'sozs?>cNJozosXobgjgzwsozs?>cN^ag`z}sg`sHgzsozs^AG@Z]QG@QHGZcN^ag`z}sCg}}kjsozs^AG@Z]QCG]]KJcNYg`jsJg|kmzga`s&jki'sozsYG@JQJG\QJKI]cNFa|gta`zobsYg`js]~kkjs&c!}'sozsFA\GTA@ZOBQYG@JQ]^JcNXk|zgmobsYg`js]~kkjs&c!}'sozsXK\ZGMOBQYG@JQ]^JcN]~ozgobsXo|gozga`sozs]^OZGOBQXO\GOZGA@cNMba{js]mobg`isozsMBA[JQ]MOBG@IcNLome}mozzk|s&!?r=k#8!c!}|'sozsLOME]MOZZK\cNFa|gta`zobs[`mk|zog`zws&c!}'sozsFA\GTA@ZOBQ]^JQMA@HGJK@MKcNJozosXobgjgzwsozsJOZOQG@XOBGJc
13,09/04/2018 09:27:24,590059644,NotShutdown Shutter-Open StartedUp,Fully Operational,10.059,0.030,17,19,26,32.87558 -106.25200,355.400,42,11.190,878.900,23.100,0.154,0.800,0,7.216,11.524,0.074,7.341,11.468,0.092,7.345,11.580,0.050,6.045,11.485,0.025,1.300,10.878,0.026,356.370,9.936,0.048,356.086,7.659,-0.254,359.084,6.200,0.023,353.745,5.217,-0.025,351.628,4.416,-0.018,345.300,3.758,0.080,:=N8>>8Nn>N>Nnr6=6N??r??<N>r>?>N>r>?>N>r>>>N>r>>=N>r98nN>Nn>N>N>r>>nN>r>>>N>r>>6N>rn>=N>Nn>NnN>r>?:N>r>>>N>r>?>N>r:9<N>Nn>N>N>r>><N>r>>>N>r>??N>r:n:N>Nn>N>N>r>>=N>r>>>N>r>??N>r:n7N>Nn>N>N>r>><N>r>>>N>r>??N>r:86N>Nn>N>N>r>>7N>r>>>N>r>??N>rn=nN>Nn>N>N>r><>N>r>>>N>r>?>N>r:6:N>Nn>N>N>r>>9N>r>>>N>r>?=N>r:n<N>Nn>N?N>r>?:N>r>>>N>r>?:N>r:nnN>Nn>N?N>r>=>N>r>>>N>r>?nN>r:n6N>N:7N>N>r>=<N>r>>>N>r>?=N>r::nN>N>N>N7777N7777N7777N>r>>>N>r>>>N>r>>>N>r>>>N<
25,09/04/2018 09:27:41,590059661,NotShutdown Shutter-Open,Modem,10.048,0.029,17,19,26,32.87558 -106.25200,355.500,42,11.190,878.900,23.290,0.875,329.700,0,6.963,11.423,0.093,7.933,11.704,0.082,7.428,11.747,0.043,5.889,11.703,-0.001,0.423,10.980,-0.039,355.824,9.725,0.048,357.483,7.601,-0.075,359.228,6.058,-0.008,356.143,5.121,-0.034,356.916,4.284,-0.050,350.282,3.746,0.025,:=N8<><Nn>N>Nnr:?=N??r?=9N>r>98N>r>>7N>r>>>N>r>>=N>r877N>Nn>N>N>r>>9N>r>>>N>r>>6N>r:78N>Nn>N>N>r>>:N>r>>>N>r>?>N>r:8nN>Nn>N>N>r>><N>r>>>N>r>?>N>r:8:N>Nn>N>N>r>>=N>r>>>N>r>?>N>r:96N>Nn>N>N>r>>:N>r>>>N>r>??N>r:8>N>Nn>N>N>r>?<N>r>>>N>r>?>N>rn<nN>Nn>N>N>r>?>N>r>>>N>r>??N>r:97N>N:7N>N>r>>6N>r>>>N>r>?:N>r::8N>N:7N>N>r>?nN>r>>>N>r>?=N>r:n<N>Nn>N>N>r><?N>r>>>N>r>?8N>r:::N>N:7N>N>r><9N>r>>>N>r>?:N>r::8N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
26,09/04/2018 09:27:42,590059662,NotShutdown Shutter-Open,Modem,10.046,0.030,17,19,26,32.87558 -106.25200,355.500,42,11.190,878.800,23.290,0.463,18.700,0,#N/A,#N/A,#N/A,7.173,11.569,0.062,7.271,11.680,0.055,5.479,11.570,0.023,0.346,10.906,0.023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,:=N8<?=N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ONn>N>N>r>>:N>r>>>N>r>>7N>r:8?N>Nn>N>N>r>>=N>r>>>N>r>?>N>r:n:N>Nn>N?N>r>>=N>r>>>N>r>?>N>r:9:N>Nn>N?n7N>r>>=N>r>>>N>r>?>N>r:n:N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
33,09/04/2018 12:34:56,590070896,NotShutdown Shutter-Open StartedUp,Fully Operational,10.103,0.028,32,34,18,32.87558 -106.25200,356.000,0,23.390,880.400,12.600,5.299,314.400,0,#N/A,#N/A,#N/A,356.066,7.547,0.029,6.367,7.544,0.571,16.333,7.509,0.776,20.611,7.341,1.034,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8<N?>8==N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ONn>N<6N>r>:8N>r>>>N>r><?N>r9>nN>Nn>N>N>r>=7N>r>>>N>r><<N>r8<6N>Nn>N?N>r><9N>r>>>N>r><:N>rn:6N>Nn>N>N>r>8:N>r>>>N>r>=?N>rn<:N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
45,09/04/2018 12:35:17,590070917,NotShutdown Shutter-Open,Fully Operational,10.067,0.029,32,34,18,32.87559 -106.25200,355.900,0,23.500,880.300,12.500,1.698,356.600,0,2.548,5.700,0.124,358.910,5.749,0.234,357.664,5.489,0.455,354.969,6.303,0.937,351.618,6.489,0.803,13.741,6.918,1.020,352.990,7.213,0.530,349.816,6.433,0.497,349.376,7.002,-0.200,350.580,7.732,0.267,349.162,7.164,0.096,8?N?>6>=Nn>N>N=n6r66<Nnr7:>N#>r>>9N>r>8:N>r>>>N>r>>9N>r7::N>Nn>N>N>r>:9N>r>>>N>r>?nN>r976N>Nn>N>N>r>:>N>r>>>N>r>?6N>r8=7N>Nn>N>N>r>8?N>r>>>N>r><<N>r8n:N>Nn>N>N>r>99N>r>>>N>r><8N>rn8>N>Nn>N>N>r>88N>r>>>N>r><8N>rn8?N>Nn>N>N>r>96N>r>>>N>r>:>N>rn8nN>Nn>N>N>r>=6N>r>>>N>r>:6N>rn?nN>Nn>N<N>r>=8N>r>>>N>r>nnN>rn<<N>Nn>N>N>r>n>N>r>>>N>r>:9N>r:6?N>Nn>N?N>r>?=N>r>>>N>r>=:N>r:n:N>Nn>N>N>r>>7N>r>>>N>r><7N>r::?N>N>N>N7777N7777N7777N>r>>>N>r>>>N>r>>>N>r>>>N<
57,09/04/2018 12:35:35,590070935,NotShutdown Shutter-Open,Fully Operational,10.051,0.029,32,34,18,32.87559 -106.25200,355.900,0,23.500,880.400,12.690,1.801,21.600,0,2.572,5.866,0.161,2.730,6.641,0.152,354.237,7.399,0.437,351.961,7.600,0.558,350.515,7.339,0.489,350.695,6.092,0.715,352.396,6.689,0.501,351.368,6.199,0.225,350.502,5.982,0.251,0.245,5.723,0.145,353.872,5.882,-0.198,8<N?>7:9Nn>N>N>rn7?N8r>n7N>r<9=N>r>9>N>r>>>N>r>>6N?r>8=N>Nn>N?N>r>97N>r>>>N>r>?nN>r9<?N>Nn>N?N>r>:8N>r>>>N>r>?9N>r9:<N>Nn>N>N>r><?N>r>>>N>r><?N>rn:<N>Nn>N?N>r><=N>r>>>N>r><:N>rn=6N>Nn>N>N>r><7N>r>>>N>r><8N>rn8>N>Nn>N>N>r>n6N>r>>>N>r><7N>rn=:N>Nn>N>N>r>:?N>r>>>N>r>=9N>r:7nN>Nn>N>N>r><6N>r>>>N>r>=7N>r:7>N>Nn>N?N>r><nN>r>>>N>r>=9N>r:9?N>Nn>N?N>r><nN>r>>>N>r>=8N>r:n9N>Nn>N>N>r>==N>r>>>N>r>:?N>r:n9N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
69,09/04/2018 12:35:52,590070952,NotShutdown Shutter-Open,Fully Operational,10.033,0.029,32,34,18,32.87559 -106.25200,355.900,0,23.500,880.400,12.890,1.749,32.700,0,349.688,7.165,0.326,349.264,7.261,0.446,348.980,7.262,0.411,350.343,7.290,0.264,351.578,7.402,0.169,349.201,7.120,0.456,351.113,7.438,0.102,353.038,7.444,0.197,355.307,7.073,0.094,355.720,6.401,0.113,357.957,5.188,0.437,8<N??>6nNn>N>N=n>r8=?N9r>n<N>r<>8N>r><:N>r>>>N>r>>9N>r988N>Nn>N>N>r><9N>r>>>N>r>?nN>r88=N>Nn>N>N>r><8N>r>>>N>r>?7N>rn7?N>Nn>N>N>r><9N>r>>>N>r><<N>rnn=N>Nn>N>N>r><9N>r>>>N>r><:N>rn:>N>Nn>N>N>r><:N>r>>>N>r><nN>rn?7N>Nn>N?N>r>n8N>r>>>N>r><8N>rn:8N>Nn>N>N>r>=>N>r>>>N>r><7N>r:96N>Nn>N?N>r>=?N>r>>>N>r>=<N>r:66N>Nn>N>N>r>?7N>r>>>N>r>=>N>r:8=N>Nn>N>N>r>=9N>r>>>N>r>==N>r:9nN>Nn>N?N>r>n7N>r>>>N>r><7N>r:96N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
81,09/04/2018 13:27:49,590074069,Focusing ExtFans NotShutdown Shutter-Open,Modem,9.959,0.030,38,42,17,32.87559 -106.25200,356.100,0,26.200,880.100,9.800,1.749,8.800,0,342.052,9.102,0.512,343.497,9.261,0.468,345.085,9.244,0.302,343.886,8.938,0.340,355.073,8.909,0.171,355.430,6.953,-0.104,9999,9999,9999,355.568,6.900,-0.426,357.006,6.516,-0.154,0.742,6.406,-0.223,357.614,5.147,0.419,9>N?:6:8Nn>N>N=:?rn?<N7r<=6N>r8?:N>r>?8N>r>>>N>r>??N?r><?N>Nn>N>N>r><<N>r>>>N>r><=N>r876N>Nn>N>N>r><=N>r>>>N>r>=>N>r8<8N>Nn>N>N>r>=?N>r>>>N>r>:?N>rn77N>Nn>N>N>r>::N>r>>>N>r>n<N>rn8<N>Nn>N>N>r>=:N>r>>>N>r>8>N>rn=6N>Nn>N>N>r>:>N>r>>>N>r><nN>rn?=N>N9N=N>r>>>N>r>>>N>r><6N>r>>>N=Nn>N>N>r>?8N>r>>>N>r><9N>r:n>N>Nn>N>N>r>=<N>r>>>N>r><7N>r:87N>Nn>N>N>r><nN>r>>>N>r>==N>r:8:N>Nn>N>N>r>97N>r>>>N>r>=9N>r:96N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
93,09/04/2018 13:28:07,590074087,ExtFans NotShutdown Shutter-Open,Modem,9.929,0.030,37,42,17,32.87559 -106.25200,356.100,0,26.200,880.100,9.690,2.675,335.300,0,346.352,8.809,0.182,348.702,8.481,0.072,352.555,8.414,-0.020,353.878,8.261,0.067,350.599,8.091,-0.033,357.354,8.958,-0.016,357.255,8.049,-0.324,353.689,8.324,-0.351,349.948,7.918,-0.200,349.402,7.634,-0.352,348.488,8.133,-0.335,9>N?:6:9Nn>N>N=::r698N6r66:N>r<nnN>r>=8N>r>>>N>r>>6N?r>:>N>Nn>N>N>r>=>N>r>>>N>r><>N>r8<>N>Nn>N>N>r><6N>r>>>N>r><nN>r8>7N>Nn>N>N>r><>N>r>>>N>r><6N>rn7>N>Nn>N>N>r>?9N>r>>>N>r>=<N>rn:>N>Nn>N>N>r><>N>r>>>N>r>=7N>rn=?N>Nn>N>N>r>?6N>r>>>N>r>n6N>rn<nN>Nn>N>N>r><9N>r>>>N>r>:9N>r:6<N>Nn>N>N>r>?6N>r>>>N>r>:7N>r:7<N>Nn>N>N>r><<N>r>>>N>r>n=N>r:8>N>Nn>N>N>r><8N>r>>>N>r>8:N>r:89N>Nn>N>N>r>?7N>r>>>N>r>n7N>r:n8N>N-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!ON-@!O
106,09/04/2018 13:28:26,590074106,ExtFans NotShutdown Shutter-Open,Modem,9.900,0.029,37,42,17,32.87559 -106.25200,356.100,0,26.200,880.200,9.500,1.286,353.800,0,341.652,7.278,0.157,343.060,7.013,0.084,348.328,7.177,-0.302,349.318,7.682,-0.434,344.602,7.831,-0.282,354.012,8.176,-0.376,350.567,7.149,-0.505,350.705,8.505,-0.323,342.626,7.414,-0.843,348.063,7.536,-0.691,347.122,7.163,-0.383,9>N?:6:6Nn>N?N=:<r=8:N9r7?<N>r:?7N>r><7N>r>>>N>r>>6N?r>>8N>Nn>N?N>r><6N>r>>>N>r>?9N>r87<N>Nn>N>N>r><=N>r>>>N>r><>N>r8?6N>Nn>N?<nN>r>=7N>r>>>N>r><:N>rn=?N>Nn>NnN>r>=?N>r>>>N>r><6N>r:99N>Nn>N>N>r>=6N>r>>>N>r>=nN>rn<=N>Nn>N>N>r><<N>r>>>N>r>:6N>rn>9N>Nn>N>N>r>::N>r>>>N>r>:=N>r:7nN>Nn>N>N>r><nN>r>>>N>r>:6N>r:6>N>Nn>N>N>r>:8N>r>>>N>r>:>N>r:6nN>Nn>N>N>r>?6N>r>>>N>r>==N>r:n9N>Nn>N>N>r>?nN>r>>>N>r><8N>r:=6N>N>N>N7777N7777N7777N>r>>>N>r>>>N>r>>>N>r>>>N<
